Type,Title,Locale,Path,Full URL
"Static Page","","ar","","https://saadeddin.com"
"Static Page","","en","/en","https://saadeddin.com/en"
"Static Page","","ar","/collections","https://saadeddin.com/collections"
"Static Page","","en","/en/collections","https://saadeddin.com/en/collections"
"Static Page","","ar","/products","https://saadeddin.com/products"
"Static Page","","en","/en/products","https://saadeddin.com/en/products"
"Static Page","","ar","/vouchers","https://saadeddin.com/vouchers"
"Static Page","","en","/en/vouchers","https://saadeddin.com/en/vouchers"
"Static Page","","ar","/buy-gift-card","https://saadeddin.com/buy-gift-card"
"Static Page","","en","/en/buy-gift-card","https://saadeddin.com/en/buy-gift-card"
"Static Page","","ar","/cart","https://saadeddin.com/cart"
"Static Page","","en","/en/cart","https://saadeddin.com/en/cart"
"Static Page","","ar","/account","https://saadeddin.com/account"
"Static Page","","en","/en/account","https://saadeddin.com/en/account"
"Static Page","","ar","/account/login","https://saadeddin.com/account/login"
"Static Page","","en","/en/account/login","https://saadeddin.com/en/account/login"
"Static Page","","ar","/account/register","https://saadeddin.com/account/register"
"Static Page","","en","/en/account/register","https://saadeddin.com/en/account/register"
"Static Page","","ar","/account/wallet","https://saadeddin.com/account/wallet"
"Static Page","","en","/en/account/wallet","https://saadeddin.com/en/account/wallet"
"Static Page","","ar","/account/orders","https://saadeddin.com/account/orders"
"Static Page","","en","/en/account/orders","https://saadeddin.com/en/account/orders"
"Static Page","","ar","/account/addresses","https://saadeddin.com/account/addresses"
"Static Page","","en","/en/account/addresses","https://saadeddin.com/en/account/addresses"
"Product","Nutcracker â€“ Large","ar","/products/nutcracker-large","https://saadeddin.com/products/nutcracker-large"
"Product","Nutcracker â€“ Large","en","/en/products/nutcracker-large","https://saadeddin.com/en/products/nutcracker-large"
"Product","Doom Cake","ar","/products/doom-cake","https://saadeddin.com/products/doom-cake"
"Product","Doom Cake","en","/en/products/doom-cake","https://saadeddin.com/en/products/doom-cake"
"Product","Soksia Cake Slice","ar","/products/soksia-cake-slice","https://saadeddin.com/products/soksia-cake-slice"
"Product","Soksia Cake Slice","en","/en/products/soksia-cake-slice","https://saadeddin.com/en/products/soksia-cake-slice"
"Product","Nutcracker Slice","ar","/products/nutcracker-slice","https://saadeddin.com/products/nutcracker-slice"
"Product","Nutcracker Slice","en","/en/products/nutcracker-slice","https://saadeddin.com/en/products/nutcracker-slice"
"Product","Flan Vanilla with Pecan Nuts â€“ Large","ar","/products/flan-vanilla-with-pecan-nuts-large","https://saadeddin.com/products/flan-vanilla-with-pecan-nuts-large"
"Product","Flan Vanilla with Pecan Nuts â€“ Large","en","/en/products/flan-vanilla-with-pecan-nuts-large","https://saadeddin.com/en/products/flan-vanilla-with-pecan-nuts-large"
"Product","Small mango brÃ»lÃ©e cup","ar","/products/small-mango-brulee-cup","https://saadeddin.com/products/small-mango-brulee-cup"
"Product","Small mango brÃ»lÃ©e cup","en","/en/products/small-mango-brulee-cup","https://saadeddin.com/en/products/small-mango-brulee-cup"
"Product","Coconut mango cake","ar","/products/coconut-mango-cake","https://saadeddin.com/products/coconut-mango-cake"
"Product","Coconut mango cake","en","/en/products/coconut-mango-cake","https://saadeddin.com/en/products/coconut-mango-cake"
"Product","Tutti Frutti cake","ar","/products/tutti-frutti-cake","https://saadeddin.com/products/tutti-frutti-cake"
"Product","Tutti Frutti cake","en","/en/products/tutti-frutti-cake","https://saadeddin.com/en/products/tutti-frutti-cake"
"Product","Tutti Frutti pieces","ar","/products/tutti-frutti-pieces","https://saadeddin.com/products/tutti-frutti-pieces"
"Product","Tutti Frutti pieces","en","/en/products/tutti-frutti-pieces","https://saadeddin.com/en/products/tutti-frutti-pieces"
"Product","Golden Mango cake","ar","/products/golden-mango-cake","https://saadeddin.com/products/golden-mango-cake"
"Product","Golden Mango cake","en","/en/products/golden-mango-cake","https://saadeddin.com/en/products/golden-mango-cake"
"Product","Golden Mango Slices","ar","/products/golden-mango-slices","https://saadeddin.com/products/golden-mango-slices"
"Product","Golden Mango Slices","en","/en/products/golden-mango-slices","https://saadeddin.com/en/products/golden-mango-slices"
"Product","Small vanilla chips cookies","ar","/products/small-vanilla-chips-cookies","https://saadeddin.com/products/small-vanilla-chips-cookies"
"Product","Small vanilla chips cookies","en","/en/products/small-vanilla-chips-cookies","https://saadeddin.com/en/products/small-vanilla-chips-cookies"
"Product","Red berry cheesecake piece","ar","/products/red-berry-cheesecake-piece","https://saadeddin.com/products/red-berry-cheesecake-piece"
"Product","Red berry cheesecake piece","en","/en/products/red-berry-cheesecake-piece","https://saadeddin.com/en/products/red-berry-cheesecake-piece"
"Product","Caramel Mille-Feuille","ar","/products/caramel-mille-feuille","https://saadeddin.com/products/caramel-mille-feuille"
"Product","Caramel Mille-Feuille","en","/en/products/caramel-mille-feuille","https://saadeddin.com/en/products/caramel-mille-feuille"
"Product","inside out cheesecake","ar","/products/inside-out-cheesecake","https://saadeddin.com/products/inside-out-cheesecake"
"Product","inside out cheesecake","en","/en/products/inside-out-cheesecake","https://saadeddin.com/en/products/inside-out-cheesecake"
"Product","Maroon GlacÃ© Cake","ar","/products/maroon-glace-cake","https://saadeddin.com/products/maroon-glace-cake"
"Product","Maroon GlacÃ© Cake","en","/en/products/maroon-glace-cake","https://saadeddin.com/en/products/maroon-glace-cake"
"Product","Strawberry Dream Cake","ar","/products/strawberry-dream-cake","https://saadeddin.com/products/strawberry-dream-cake"
"Product","Strawberry Dream Cake","en","/en/products/strawberry-dream-cake","https://saadeddin.com/en/products/strawberry-dream-cake"
"Product","Large Karak Latte Cake","ar","/products/large-karak-latte-cake","https://saadeddin.com/products/large-karak-latte-cake"
"Product","Large Karak Latte Cake","en","/en/products/large-karak-latte-cake","https://saadeddin.com/en/products/large-karak-latte-cake"
"Product","Small karak latte cake","ar","/products/small-karak-latte-cake","https://saadeddin.com/products/small-karak-latte-cake"
"Product","Small karak latte cake","en","/en/products/small-karak-latte-cake","https://saadeddin.com/en/products/small-karak-latte-cake"
